
mbgsvcd v4.2.14 copyright Meinberg 2010-2020

Found 1 devices usable for the NTP daemon
PC cycles counter clock frequency: 3502655000 Hz
GNS181PEX: 2021-02-17 15:05:29.4058081 1613574329.405808210 1613574329.405927181 -0.000119209, ltcy: 0.22 us, exec: 0.19 us, limit: 0.17 us, leap: 00 *
GNS181PEX: 2021-02-17 15:05:30.4060819 1613574330.406081915 1613574330.406201124 -0.000119448, ltcy: 0.20 us, exec: 0.19 us, limit: 0.17 us, leap: 00 *
GNS181PEX: 2021-02-17 15:05:31.4063067 1613574331.406306744 1613574331.406426191 -0.000119686, ltcy: 0.20 us, exec: 0.17 us, limit: 0.17 us, leap: 00 *
GNS181PEX: 2021-02-17 15:05:32.4065900 1613574332.406589985 1613574332.406709671 -0.000119925, ltcy: 0.18 us, exec: 0.21 us, limit: 0.18 us, leap: 00 *
GNS181PEX: 2021-02-17 15:05:33.4068989 1613574333.406898975 1613574333.407018661 -0.000119925, ltcy: 0.20 us, exec: 0.18 us, limit: 0.17 us, leap: 00 *
GNS181PEX: 2021-02-17 15:05:34.4071428 1613574334.407142878 1613574334.407262802 -0.000120163, ltcy: 0.20 us, exec: 0.20 us, limit: 0.18 us, leap: 00 *
GNS181PEX: 2021-02-17 15:05:35.4073779 1613574335.407377958 1613574335.407497883 -0.000120163, ltcy: 0.21 us, exec: 0.18 us, limit: 0.18 us, leap: 00 *
GNS181PEX: 2021-02-17 15:05:36.4076161 1613574336.407616138 1613574336.407736301 -0.000120401, ltcy: 0.22 us, exec: 0.18 us, limit: 0.17 us, leap: 00 *
GNS181PEX: 2021-02-17 15:05:37.4078689 1613574337.407868862 1613574337.407989264 -0.000120640, ltcy: 0.19 us, exec: 0.18 us, limit: 0.17 us, leap: 00 *
GNS181PEX: 2021-02-17 15:05:38.4081291 1613574338.408129215 1613574338.408249617 -0.000120640, ltcy: 0.20 us, exec: 0.20 us, limit: 0.17 us, leap: 00 *
GNS181PEX: 2021-02-17 15:05:39.4083786 1613574339.408378601 1613574339.408499241 -0.000120878, ltcy: 0.19 us, exec: 0.17 us, limit: 0.17 us, leap: 00 *
GNS181PEX: 2021-02-17 15:05:40.4086250 1613574340.408625126 1613574340.408746004 -0.000121117, ltcy: 0.18 us, exec: 0.16 us, limit: 0.18 us, leap: 00 *
GNS181PEX: 2021-02-17 15:05:41.4089107 1613574341.408910751 1613574341.409031630 -0.000121117, ltcy: 0.20 us, exec: 0.18 us, limit: 0.18 us, leap: 00 *
GNS181PEX: 2021-02-17 15:05:42.4091998 1613574342.409199715 1613574342.409320831 -0.000121355, ltcy: 0.20 us, exec: 0.22 us, limit: 0.18 us, leap: 00 *
GNS181PEX: 2021-02-17 15:05:43.4094848 1613574343.409484863 1613574343.409606218 -0.000121593, ltcy: 0.19 us, exec: 0.17 us, limit: 0.18 us, leap: 00 *
GNS181PEX: 2021-02-17 15:05:44.4097388 1613574344.409738779 1613574344.409860134 -0.000121593, ltcy: 0.19 us, exec: 0.18 us, limit: 0.18 us, leap: 00 *
GNS181PEX: 2021-02-17 15:05:45.4099565 1613574345.409956455 1613574345.410078049 -0.000121832, ltcy: 0.21 us, exec: 0.23 us, limit: 0.18 us, leap: 00 *
