
mbgsvcd v4.2.14 copyright Meinberg 2010-2020

Found 1 devices usable for the NTP daemon
PC cycles counter clock frequency: 2900000000 Hz
GNS181PEX: 2021-02-18 15:28:00.0874913 1613662080.087491512 1613662080.087640762 -0.000149250, ltcy: 0.10 us, exec: 0.04 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-18 15:28:01.0876896 1613662081.087689638 1613662081.087840557 -0.000150919, ltcy: 0.10 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-18 15:28:02.0878865 1613662082.087886572 1613662082.088039160 -0.000152588, ltcy: 0.09 us, exec: 0.06 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-18 15:28:03.0881106 1613662083.088110685 1613662083.088264942 -0.000154257, ltcy: 0.10 us, exec: 0.04 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-18 15:28:04.0883359 1613662084.088335991 1613662084.088491678 -0.000155687, ltcy: 0.10 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-18 15:28:05.0885395 1613662085.088539600 1613662085.088696957 -0.000157356, ltcy: 0.09 us, exec: 0.04 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-18 15:28:06.0887221 1613662086.088722229 1613662086.088881254 -0.000159025, ltcy: 0.09 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-18 15:28:07.0889302 1613662087.088930368 1613662087.089090824 -0.000160694, ltcy: 0.13 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-18 15:28:08.0890994 1613662088.089099407 1613662088.089261532 -0.000162125, ltcy: 0.09 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-18 15:28:09.0893393 1613662089.089339495 1613662089.089503288 -0.000163794, ltcy: 0.09 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-18 15:28:10.0895161 1613662090.089516163 1613662090.089681625 -0.000165701, ltcy: 0.12 us, exec: 0.04 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-18 15:28:11.0896818 1613662091.089681864 1613662091.089848757 -0.000166893, ltcy: 0.09 us, exec: 0.04 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-18 15:28:12.0899734 1613662092.089973450 1613662092.090142012 -0.000168562, ltcy: 0.09 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-18 15:28:13.0901831 1613662093.090183258 1613662093.090353489 -0.000170231, ltcy: 0.09 us, exec: 0.04 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-18 15:28:14.0903869 1613662094.090386868 1613662094.090558767 -0.000171900, ltcy: 0.09 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-18 15:28:15.0905521 1613662095.090552092 1613662095.090725660 -0.000173569, ltcy: 0.09 us, exec: 0.04 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-18 15:28:16.0907490 1613662096.090749025 1613662096.090923786 -0.000174999, ltcy: 0.18 us, exec: 0.04 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-18 15:28:17.0910313 1613662097.091031313 1613662097.091207981 -0.000176668, ltcy: 0.09 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-18 15:28:18.0912151 1613662098.091215134 1613662098.091393471 -0.000178337, ltcy: 0.11 us, exec: 0.06 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-18 15:28:19.0914277 1613662099.091427803 1613662099.091607571 -0.000179768, ltcy: 0.09 us, exec: 0.04 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-18 15:28:20.0916250 1613662100.091624975 1613662100.091806412 -0.000181437, ltcy: 0.10 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-18 15:28:21.0918062 1613662101.091806173 1613662101.091989279 -0.000183105, ltcy: 0.09 us, exec: 0.06 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-18 15:28:22.0919668 1613662102.091966867 1613662102.092151642 -0.000184774, ltcy: 0.11 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-18 15:28:23.0921295 1613662103.092129469 1613662103.092315674 -0.000186205, ltcy: 0.09 us, exec: 0.06 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-18 15:28:24.0922927 1613662104.092292786 1613662104.092480421 -0.000187635, ltcy: 0.11 us, exec: 0.04 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-18 15:28:25.0924882 1613662105.092488289 1613662105.092677593 -0.000189304, ltcy: 0.09 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-18 15:28:26.0926904 1613662106.092690468 1613662106.092881441 -0.000190973, ltcy: 0.10 us, exec: 0.06 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-18 15:28:27.0928684 1613662107.092868567 1613662107.093061209 -0.000192642, ltcy: 0.09 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-18 15:28:28.0930843 1613662108.093084335 1613662108.093278646 -0.000194311, ltcy: 0.12 us, exec: 0.06 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-18 15:28:29.0933218 1613662109.093321800 1613662109.093517780 -0.000195980, ltcy: 0.09 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-18 15:28:30.0935007 1613662110.093500853 1613662110.093697786 -0.000197411, ltcy: 0.46 us, exec: 0.07 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-18 15:28:31.0937444 1613662111.093744516 1613662111.093925714 -0.000181198, ltcy: 0.10 us, exec: 0.04 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-18 15:28:32.0939722 1613662112.093972206 1613662112.094129562 -0.000157356, ltcy: 0.10 us, exec: 0.04 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-18 15:28:33.0942256 1613662113.094225645 1613662113.094358921 -0.000133276, ltcy: 0.10 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-18 15:28:34.0944172 1613662114.094417334 1613662114.094526529 -0.000109196, ltcy: 0.10 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-18 15:28:35.0946202 1613662115.094620228 1613662115.094705343 -0.000085115, ltcy: 0.10 us, exec: 0.04 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-18 15:28:36.0948847 1613662116.094884634 1613662116.094945908 -0.000061274, ltcy: 0.10 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-18 15:28:37.0951026 1613662117.095102549 1613662117.095139742 -0.000037193, ltcy: 0.09 us, exec: 0.06 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-18 15:28:38.0952907 1613662118.095290661 1613662118.095304012 -0.000013351, ltcy: 0.09 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-18 15:28:39.0955169 1613662119.095516920 1613662119.095506191 +0.000010729, ltcy: 0.09 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-18 15:28:40.0957454 1613662120.095745325 1613662120.095710754 +0.000034571, ltcy: 0.10 us, exec: 0.04 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-18 15:28:41.0958898 1613662121.095889807 1613662121.095830917 +0.000058651, ltcy: 0.12 us, exec: 0.08 us, limit: 0.05 us, leap: 00 *
